"","Month","Year","Autonomous.Community","Relation","Victim.Age","Agressor.Age","Previous.Abuse.Report","Living.Together"
"1","January",2003,"Andalucía","Partner","41-50 years","51-64 years","Unknown","Yes"
"2","January",2003,"Andalucía","Partner","75-84 years","75-84 years","Unknown","Yes"
"3","January",2003,"Andalucía","Partner","21-30 years","Unknown","Unknown","Yes"
"4","January",2003,"Canarias","Partner","31-40 years","Unknown","Unknown","Yes"
"5","January",2003,"Cataluña","Ex-partner","31-40 years","Unknown","Unknown","No"
"6","January",2003,"Cataluña","Partner","31-40 years","51-64 years","Unknown","Yes"
"7","January",2003,"Cataluña","Partner","Unknown","31-40 years","Unknown","Yes"
"8","January",2003,"La Rioja","Partner","31-40 years","31-40 years","Unknown","Yes"
"9","February",2003,"Andalucía","Partner","75-84 years","65-74 years","Unknown","Yes"
"10","February",2003,"Cataluña","Partner","21-30 years","Unknown","Unknown","Yes"
"11","February",2003,"Galicia","Partner","65-74 years","65-74 years","Unknown","Yes"
"12","February",2003,"La Rioja","Ex-partner","21-30 years","31-40 years","Unknown","No"
"13","March",2003,"Andalucía","Partner","31-40 years","51-64 years","Unknown","Yes"
"14","March",2003,"Andalucía","Ex-partner","21-30 years","Unknown","Unknown","No"
"15","March",2003,"Andalucía","Ex-partner","31-40 years","Unknown","Unknown","No"
"16","March",2003,"Galicia","Partner","41-50 years","41-50 years","Unknown","Yes"
"17","March",2003,"Comunidad de Madrid","Partner","65-74 years","65-74 years","Unknown","Yes"
"18","March",2003,"Región de Murcia","Partner","21-30 years","Unknown","Unknown","Yes"
"19","April",2003,"Canarias","Partner","21-30 years","21-30 years","Unknown","Yes"
"20","April",2003,"Cataluña","Partner","41-50 years","Unknown","Unknown","Yes"
"21","April",2003,"Comunidad Valenciana","Partner","Unknown","Unknown","Unknown","Yes"
"22","April",2003,"Comunidad Valenciana","Partner","31-40 years","31-40 years","Unknown","Yes"
"23","April",2003,"Comunidad Foral de Navarra","Partner","31-40 years","41-50 years","Unknown","Yes"
"24","May",2003,"Aragón","Partner","21-30 years","Unknown","Unknown","Yes"
"25","May",2003,"Castilla - La Mancha","Partner","41-50 years","Unknown","Unknown","Yes"
"26","May",2003,"Cataluña","Partner","31-40 years","Unknown","Unknown","Yes"
"27","May",2003,"Cataluña","Ex-partner","41-50 years","Unknown","Unknown","No"
"28","May",2003,"Comunidad Valenciana","Partner","21-30 years","Unknown","Unknown","Yes"
"29","May",2003,"Galicia","Partner","31-40 years","Unknown","Unknown","Yes"
"30","June",2003,"Aragón","Partner","31-40 years","Unknown","Unknown","Yes"
"31","June",2003,"Principado de Asturias","Partner","Unknown","Unknown","Unknown","Yes"
"32","June",2003,"Castilla y León","Ex-partner","41-50 years","Unknown","Unknown","No"
"33","June",2003,"Cataluña","Ex-partner","51-64 years","41-50 years","Unknown","No"
"34","June",2003,"Cataluña","Partner","65-74 years","65-74 years","Unknown","Yes"
"35","June",2003,"Galicia","Partner","31-40 years","31-40 years","Unknown","Yes"
"36","June",2003,"Región de Murcia","Partner","31-40 years","Unknown","Unknown","Yes"
"37","June",2003,"Ceuta","Partner","31-40 years","31-40 years","Unknown","Yes"
"38","July",2003,"Islas Baleares","Partner","41-50 years","Unknown","Unknown","Yes"
"39","July",2003,"Cantabria","Partner","31-40 years","31-40 years","Unknown","Yes"
"40","July",2003,"Castilla - La Mancha","Partner","21-30 years","Unknown","Unknown","Yes"
"41","July",2003,"Cataluña","Partner","31-40 years","Unknown","Unknown","Yes"
"42","July",2003,"Cataluña","Partner","Unknown","31-40 years","Unknown","Yes"
"43","July",2003,"Comunidad Valenciana","Partner","Unknown","Unknown","Unknown","Yes"
"44","July",2003,"Galicia","Ex-partner","31-40 years","Unknown","Unknown","No"
"45","July",2003,"Comunidad de Madrid","Partner","41-50 years","Unknown","Unknown","Yes"
"46","August",2003,"Islas Baleares","Partner","51-64 years","51-64 years","Unknown","Yes"
"47","August",2003,"Islas Baleares","Partner","51-64 years","Unknown","Unknown","Yes"
"48","August",2003,"Canarias","Partner","31-40 years","31-40 years","Unknown","Yes"
"49","August",2003,"Canarias","Partner","Unknown","Unknown","Unknown","Yes"
"50","August",2003,"Castilla y León","Partner","65-74 years","Unknown","Unknown","Yes"
"51","August",2003,"Cataluña","Ex-partner","31-40 years","Unknown","Unknown","No"
"52","August",2003,"Comunidad Valenciana","Ex-partner","18-20 years","Unknown","Unknown","No"
"53","August",2003,"Comunidad de Madrid","Partner","41-50 years","51-64 years","Unknown","Yes"
"54","September",2003,"Andalucía","Partner",">85 years",">85 years","Unknown","Yes"
"55","September",2003,"Andalucía","Partner","41-50 years","41-50 years","Unknown","Yes"
"56","September",2003,"Principado de Asturias","Ex-partner","21-30 years","Unknown","Unknown","No"
"57","September",2003,"Comunidad Valenciana","Ex-partner","21-30 years","31-40 years","Unknown","No"
"58","October",2003,"Extremadura","Partner","31-40 years","31-40 years","Unknown","Yes"
"59","October",2003,"Región de Murcia","Partner","21-30 years","Unknown","Unknown","Yes"
"60","November",2003,"Andalucía","Ex-partner","21-30 years","Unknown","Unknown","No"
"61","November",2003,"Andalucía","Partner","41-50 years","51-64 years","Unknown","Yes"
"62","November",2003,"Andalucía","Partner","31-40 years","Unknown","Unknown","Yes"
"63","November",2003,"Andalucía","Partner","31-40 years","41-50 years","Unknown","Yes"
"64","November",2003,"Islas Baleares","Partner","31-40 years","Unknown","Unknown","Yes"
"65","November",2003,"Canarias","Ex-partner","41-50 years","51-64 years","Unknown","No"
"66","November",2003,"Castilla y León","Ex-partner","51-64 years","Unknown","Unknown","No"
"67","November",2003,"Castilla y León","Partner","41-50 years","41-50 years","Unknown","Yes"
"68","November",2003,"Comunidad Valenciana","Partner","41-50 years","51-64 years","Unknown","Yes"
"69","December",2003,"Canarias","Ex-partner","31-40 years","41-50 years","Unknown","No"
"70","December",2003,"Comunidad de Madrid","Partner","21-30 years","41-50 years","Unknown","Yes"
"71","December",2003,"Comunidad de Madrid","Partner","31-40 years","41-50 years","Unknown","Yes"
"72","January",2004,"Islas Baleares","Ex-partner","31-40 years","41-50 years","Unknown","No"
"73","January",2004,"Extremadura","Partner","75-84 years","75-84 years","Unknown","Yes"
"74","February",2004,"Andalucía","Partner","21-30 years","21-30 years","Unknown","Yes"
"75","February",2004,"Andalucía","Partner","75-84 years","Unknown","Unknown","Yes"
"76","February",2004,"Islas Baleares","Partner","31-40 years","21-30 years","Unknown","Yes"
"77","February",2004,"Comunidad de Madrid","Partner","21-30 years","31-40 years","Unknown","Yes"
"78","February",2004,"País Vasco","Partner","31-40 years","31-40 years","Unknown","Yes"
"79","March",2004,"Andalucía","Partner","21-30 years","31-40 years","Unknown","Yes"
"80","March",2004,"Andalucía","Ex-partner","31-40 years","31-40 years","Unknown","No"
"81","March",2004,"Andalucía","Partner","41-50 years","Unknown","Unknown","Yes"
"82","March",2004,"Aragón","Partner","21-30 years","21-30 years","Unknown","Yes"
"83","March",2004,"Canarias","Partner","51-64 years","65-74 years","Unknown","Yes"
"84","March",2004,"Cataluña","Partner","31-40 years","31-40 years","Unknown","Yes"
"85","April",2004,"Andalucía","Partner","75-84 years","75-84 years","Unknown","Yes"
"86","April",2004,"Andalucía","Partner","21-30 years","31-40 years","Unknown","Yes"
"87","April",2004,"Castilla - La Mancha","Partner","Unknown","Unknown","Unknown","Yes"
"88","April",2004,"Comunidad Valenciana","Ex-partner","Unknown","41-50 years","Unknown","No"
"89","April",2004,"Comunidad de Madrid","Partner","41-50 years","41-50 years","Unknown","Yes"
"90","April",2004,"Comunidad de Madrid","Partner","51-64 years","Unknown","Unknown","Yes"
"91","May",2004,"Andalucía","Partner","18-20 years","21-30 years","Unknown","No"
"92","May",2004,"Andalucía","Ex-partner","18-20 years","21-30 years","Unknown","No"
"93","May",2004,"Aragón","Partner","51-64 years","65-74 years","Unknown","Yes"
"94","May",2004,"Castilla y León","Partner","75-84 years","75-84 years","Unknown","Yes"
"95","May",2004,"Castilla - La Mancha","Partner","21-30 years","Unknown","Unknown","Yes"
"96","May",2004,"Cataluña","Partner","31-40 years","Unknown","Unknown","Yes"
"97","May",2004,"Cataluña","Partner","<16 years","18-20 years","Unknown","No"
"98","May",2004,"Comunidad Valenciana","Partner","51-64 years","51-64 years","Unknown","Yes"
"99","June",2004,"Andalucía","Partner","41-50 years","Unknown","Unknown","Yes"
"100","June",2004,"Andalucía","Partner","51-64 years","65-74 years","Unknown","Yes"
"101","June",2004,"Comunidad Valenciana","Ex-partner","18-20 years","21-30 years","Unknown","No"
"102","June",2004,"Comunidad Valenciana","Partner","65-74 years","65-74 years","Unknown","Yes"
"103","June",2004,"Comunidad Valenciana","Partner","65-74 years","Unknown","Unknown","Yes"
"104","June",2004,"Comunidad Foral de Navarra","Ex-partner","51-64 years","65-74 years","Unknown","No"
"105","July",2004,"Andalucía","Ex-partner","31-40 years","41-50 years","Unknown","No"
"106","July",2004,"Andalucía","Partner","31-40 years","31-40 years","Unknown","Yes"
"107","July",2004,"Canarias","Partner","31-40 years","Unknown","Unknown","Yes"
"108","July",2004,"Cataluña","Ex-partner","41-50 years","41-50 years","Unknown","No"
"109","July",2004,"Comunidad de Madrid","Partner","65-74 years","75-84 years","Unknown","Yes"
"110","July",2004,"Región de Murcia","Partner","<16 years","18-20 years","Unknown","No"
"111","July",2004,"Región de Murcia","Partner","31-40 years","31-40 years","Unknown","Yes"
"112","August",2004,"Andalucía","Ex-partner","41-50 years","Unknown","Unknown","No"
"113","August",2004,"Cantabria","Partner","31-40 years","31-40 years","Unknown","Yes"
"114","August",2004,"Castilla - La Mancha","Ex-partner","31-40 years","41-50 years","Unknown","No"
"115","August",2004,"Cataluña","Partner","51-64 years","51-64 years","Unknown","Yes"
"116","August",2004,"Comunidad Valenciana","Partner","31-40 years","Unknown","Unknown","Yes"
"117","August",2004,"Comunidad de Madrid","Partner","21-30 years","31-40 years","Unknown","No"
"118","September",2004,"Andalucía","Partner","75-84 years","75-84 years","Unknown","Yes"
"119","September",2004,"Cantabria","Ex-partner","31-40 years","31-40 years","Unknown","No"
"120","September",2004,"Castilla y León","Partner","31-40 years","31-40 years","Unknown","Yes"
"121","September",2004,"Cataluña","Ex-partner","Unknown","Unknown","Unknown","No"
"122","September",2004,"Cataluña","Partner","18-20 years","21-30 years","Unknown","Yes"
"123","September",2004,"Cataluña","Partner",">85 years",">85 years","Unknown","Yes"
"124","September",2004,"País Vasco","Ex-partner","21-30 years","21-30 years","Unknown","No"
"125","October",2004,"Andalucía","Ex-partner","31-40 years","Unknown","Unknown","No"
"126","October",2004,"Andalucía","Partner","31-40 years","21-30 years","Unknown","No"
"127","October",2004,"Andalucía","Partner","51-64 years","51-64 years","Unknown","Yes"
"128","October",2004,"Cataluña","Partner","<16 years","31-40 years","Unknown","No"
"129","October",2004,"Comunidad Valenciana","Partner","41-50 years","21-30 years","Unknown","Yes"
"130","October",2004,"Región de Murcia","Partner","41-50 years","41-50 years","Unknown","Yes"
"131","October",2004,"La Rioja","Partner","65-74 years","65-74 years","Unknown","Yes"
"132","November",2004,"Andalucía","Partner","18-20 years","21-30 years","Unknown","Yes"
"133","November",2004,"Comunidad Valenciana","Partner","51-64 years","Unknown","Unknown","Yes"
"134","November",2004,"Comunidad Valenciana","Ex-partner","41-50 years","Unknown","Unknown","No"
"135","November",2004,"País Vasco","Ex-partner","Unknown","16-17 years","Unknown","No"
"136","December",2004,"Castilla - La Mancha","Partner","Unknown","21-30 years","Unknown","Yes"
"137","December",2004,"Cataluña","Partner","31-40 years","Unknown","Unknown","Yes"
"138","December",2004,"Cataluña","Partner","51-64 years","Unknown","Unknown","Yes"
"139","December",2004,"Extremadura","Partner","75-84 years","75-84 years","Unknown","Yes"
"140","December",2004,"Galicia","Partner","31-40 years","Unknown","Unknown","No"
"141","December",2004,"Galicia","Partner","Unknown","Unknown","Unknown","Yes"
"142","December",2004,"Región de Murcia","Partner","Unknown","Unknown","Unknown","No"
"143","December",2004,"País Vasco","Partner","51-64 years","51-64 years","Unknown","Yes"
"144","January",2005,"Andalucía","Partner","21-30 years","21-30 years","Unknown","Yes"
"145","January",2005,"Aragón","Partner","75-84 years","Unknown","Unknown","Yes"
"146","January",2005,"Islas Baleares","Partner","21-30 years","21-30 years","Unknown","No"
"147","January",2005,"Castilla - La Mancha","Ex-partner","51-64 years","51-64 years","Unknown","No"
"148","January",2005,"Región de Murcia","Ex-partner","41-50 years","Unknown","Unknown","No"
"149","January",2005,"País Vasco","Ex-partner","31-40 years","Unknown","Unknown","No"
"150","February",2005,"Andalucía","Ex-partner","21-30 years","21-30 years","Unknown","No"
"151","February",2005,"Andalucía","Partner","75-84 years","75-84 years","Unknown","Yes"
"152","February",2005,"Comunidad Valenciana","Ex-partner","21-30 years","21-30 years","Unknown","No"
"153","February",2005,"Región de Murcia","Partner","31-40 years","Unknown","Unknown","Yes"
"154","February",2005,"Comunidad Foral de Navarra","Ex-partner","21-30 years","21-30 years","Unknown","No"
"155","March",2005,"Andalucía","Partner","18-20 years","21-30 years","Unknown","Yes"
"156","March",2005,"Islas Baleares","Partner","65-74 years","65-74 years","Unknown","Yes"
"157","March",2005,"Comunidad de Madrid","Partner","Unknown","Unknown","Unknown","Yes"
"158","April",2005,"Andalucía","Partner","21-30 years","21-30 years","Unknown","Yes"
"159","April",2005,"Canarias","Partner","21-30 years","31-40 years","Unknown","Yes"
"160","April",2005,"Castilla y León","Partner","31-40 years","Unknown","Unknown","Yes"
"161","April",2005,"Cataluña","Partner","51-64 years","Unknown","Unknown","Yes"
"162","April",2005,"Comunidad Valenciana","Partner","31-40 years","31-40 years","Unknown","Yes"
"163","May",2005,"Aragón","Partner","65-74 years","Unknown","Unknown","Yes"
"164","May",2005,"Canarias","Ex-partner","41-50 years","41-50 years","Unknown","No"
"165","May",2005,"Castilla y León","Partner","21-30 years","Unknown","Unknown","No"
"166","May",2005,"Cataluña","Ex-partner","21-30 years","31-40 years","Unknown","No"
