"","price","retail_price","units_sold","uses_ad_boosts","rating","rating_count","rating_five_count","rating_four_count","rating_three_count","rating_two_count","rating_one_count","badges_count","badge_local_product","badge_product_quality","badge_fast_shipping","tags","product_color","product_variation_inventory","shipping_is_express","countries_shipped_to","inventory_total","merchant_rating","product_variation_size_id","origin_country"
"1",16,14,100,0,3.76,54,26,8,10,1,9,0,0,0,0,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset","white",50,0,34,50,4.12852112676056,"M","CN"
"3",8,43,100,0,3.57,14,5,4,2,0,3,0,0,0,0,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono","leopardprint",1,0,36,50,3.98983050847458,"XS","CN"
"5",2.72,3,100,1,3.1,20,6,4,2,2,6,0,0,0,0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women","yellow",1,0,35,50,4.00158817842839,"S","CN"
"6",3.92,9,10,0,5,1,1,0,0,0,0,0,0,0,0,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit","navyblue",1,0,40,50,3.50769230769231,"XS","CN"
"8",12,11,1000,0,3.76,286,120,56,61,18,31,0,0,0,0,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre","blue",50,0,139,50,3.6812865497076,"M","CN"
"9",11,84,100,1,3.47,15,6,2,3,1,3,0,0,0,0,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual","black",50,0,36,50,3.8030303030303,"M","CN"
"11",5.79,5,1000,0,3.46,613,245,101,81,61,125,0,0,0,0,"Summer,Plus Size,long dress,plus size dress,Dress,Women's Fashion,maxi dress,Casual,beach dress,Sleeveless dress,summer dresses,women dress,Fashion,loose dress,sleeveless","grey",2,0,25,50,3.95681098204857,"2XS","CN"
"12",6,8,100,1,3.31,13,3,4,3,0,3,0,0,0,0,"Summer,Plus Size,Cotton T Shirt,womens shirt,summer t-shirts,short sleeves,V-neck,T Shirts,Fashion,sexy,Casual,Women,blouse,Shorts,Sleeve,Pure Color,Women's Fashion,Pullovers,Tops","lightblue",2,0,40,50,3.98378378378378,"XS","CN"
"13",1.91,6,1000,1,3.45,141,49,29,24,14,25,0,0,0,0,"Summer,Women,Shorts,pants,Loose,Short pants,drawstring,Causal","orange",1,0,38,50,4.12387791741472,"XS","CN"
"14",5.79,42,1000,0,3.32,121,36,24,23,19,19,0,0,0,0,"Summer,Vest,summer t-shirts,looseblouse,Cross,tank top,Spaghetti Strap,Sleeveless Shirt,Plus Size,topandblouse,deepneck,Spaghetti,Casual,Women Fashion,Women,blouse,Tank,Necks,Beach,Tops,beachvest,Women's Fashion,T Shirts,Fashion,sleeveless","red",50,0,43,50,3.94747196537478,"S","CN"
